,date,claim,truth_rating,url,source,fact,explanation,keyword
413,2022-04-28T00:00:00Z,"There were “400,000 illegal votes” cast in the 2020 presidential election",Not proven,https://www.politifact.com/article/2022/may/04/faulty-premise-2000-mules-trailer-about-voting-mai/,PolitiFact,,,election-ballots
414,2022-08-05T00:00:00Z,Video shows Clark County poll worker acting illegally by asking people to place their ballots into a bag outside of a drop box.,False,https://www.politifact.com/factchecks/2022/aug/10/facebook-posts/social-media-video-doesnt-show-evidence-voter-frau/,PolitiFact,,,election-ballots
415,2021-09-04T00:00:00Z,“Stunning report: nearly 15 million mail-in ballots were not counted in the 2020 election.”,Mostly False,https://www.politifact.com/factchecks/2021/sep/14/facebook-posts/fact-checking-misleading-claim-about-uncounted-bal/,PolitiFact,,,election-ballots
416,2022-07-09T00:00:00Z,"The Wisconsin Supreme Court decision declaring ballot drop boxes illegal ""includes the 2020 Presidential Election.""",Pants on Fire,https://www.politifact.com/factchecks/2022/jul/14/donald-trump/trump-back-hot-seat-claim-linking-ballot-box-rulin/,PolitiFact,,,election-ballots
417,2022-07-22T00:00:00Z,"In 2020, “250,000 ballots were manufactured” in Georgia and “Biden was given win” by Secretary of State Brad Raffensperger",Pants on Fire,https://www.politifact.com/factchecks/2022/jul/29/gateway-pundit/gateway-pundit-distorts-unofficial-georgia-2020-re/,PolitiFact,,,election-ballots
418,2022-05-17T00:00:00Z,The problem with mail ballots in Lancaster County is a sign of “voter fraud.”,False,https://www.politifact.com/factchecks/2022/may/18/tweets/mail-ballot-problem-pennsylvania-county-was-printi/,PolitiFact,,,election-ballots
419,2022-04-24T00:00:00Z,"“A STOLEN ELECTION: State totals minus illegal ballot trafficking numbers give President Trump decisive victories in AZ, GA, MI, PA, and WI.”",False,https://www.politifact.com/factchecks/2022/may/04/gateway-pundit/claims-2020-election-was-stolen-are-still-false/,PolitiFact,,,election-ballots
420,2022-04-11T00:00:00Z,"In France ""polls closed a few hours ago and they already know who the winners are.""",Needs more context,https://www.politifact.com/article/2022/apr/13/why-france-reports-election-results-faster-us/,PolitiFact,,,election-ballots
421,2022-05-21T00:00:00Z,Georgia Gov. Brian Kemp “allowed 7.5 million ballots to be sent to every registered voter.”,False,https://www.politifact.com/factchecks/2022/may/23/david-perdue/georgia-perdue-falsely-claims-kemp-allowed-75-mill/,PolitiFact,,,election-ballots
422,2021-11-03T00:00:00Z,Bergen County in New Jersey gave more votes to the Democratic gubernatorial candidate after all the ballots were counted.,False,https://www.politifact.com/factchecks/2021/nov/05/viral-image/no-bergen-county-didnt-find-more-votes-phil-murphy/,PolitiFact,,,election-ballots
423,2021-10-30T00:00:00Z,“Fairfax County (Va.) is not requiring the last four digits of Social Security Numbers on absentee ballots in this election.”,Mostly False,https://www.politifact.com/factchecks/2021/nov/01/gateway-pundit/fairfax-county-va-lawsuit-involved-absentee-ballot/,PolitiFact,,,election-ballots
424,2021-10-27T00:00:00Z,Virginia voters are being turned away from polling locations because they were told they already requested absentee ballots when they haven’t.,Mostly False,https://www.politifact.com/factchecks/2021/oct/29/facebook-posts/posts-about-virginia-voters-being-forced-sign-form/,PolitiFact,,,election-ballots
425,2021-11-03T00:00:00Z,“Trash bins discovered outside the Gloucester County Board of Elections containing blank ballots as well as bags of shredded ballots from Tuesday’s election!”,False,https://www.politifact.com/factchecks/2021/nov/05/facebook-posts/items-found-trash-outside-new-jersey-elections-off/,PolitiFact,,,election-ballots
426,2021-07-13T00:00:00Z,"In the 2020 presidential election, “4,255 ballots in Fulton County, Georgia, were scanned multiple times” and “3,390 went to Biden.”",False,https://www.politifact.com/factchecks/2021/jul/19/facebook-posts/no-proof-thousands-double-counted-ballots-2020-pre/,PolitiFact,,,election-ballots
427,2022-01-31T00:00:00Z,“Pennsylvania had 2.6 million mail in votes that the court of appeals of PA held to be unconstitutional. Umm that alone means Biden lost PA.”,False,https://www.politifact.com/factchecks/2022/feb/03/facebook-posts/facebook-post-wrongly-says-pennsylvania-mail-ballo/,PolitiFact,,,election-ballots
428,2022-04-26T00:00:00Z,A consent decree approved by Gov. Brian Kemp “invalidated all voter ID law” and “allowed fraudulent ballots to be accepted” in the 2020 race.,Pants on Fire,https://www.politifact.com/factchecks/2022/apr/26/david-perdue/david-perdue-distorts-facts-georgia-agreement-abse/,PolitiFact,,,election-ballots
429,2021-07-15T00:00:00Z,"Says that in the 2020 presidential election in Maricopa County, Ariz., ""74,243 mail-in ballots were counted with 'no clear record of them being sent.'""",False,https://www.politifact.com/factchecks/2021/jul/19/donald-trump/no-evidence-74000-ariz-mail-ballots-cast-2020-elec/,PolitiFact,,,election-ballots
430,2021-03-03T00:00:00Z,"“Massive 78% of mail-in ballots proved fraudulent, judge orders election do-over.",Mostly True,https://www.politifact.com/factchecks/2021/mar/05/facebook-posts/judge-did-order-new-election-small-miss-city-after/,PolitiFact,,,election-ballots
431,2021-07-19T00:00:00Z,Mail-in voting requires no signature verification.,False,https://www.politifact.com/factchecks/2021/jul/30/facebook-posts/most-states-require-signature-verification-mail-ba/,PolitiFact,,,election-ballots
432,2021-05-20T00:00:00Z,Arizona ballots were shredded and burned in a chicken farm fire.,Pants on Fire,https://www.politifact.com/factchecks/2021/may/25/instagram-posts/fowl-play-social-media-users-falsely-claim-arizona/,PolitiFact,,,election-ballots
433,2021-05-22T00:00:00Z,"""21% of 140,000 ballots were found to be in error in GA.”",Mostly False,https://www.politifact.com/factchecks/2021/may/27/facebook-posts/claim-ballots-error-fulton-county-ga-unproven/,PolitiFact,,,election-ballots
434,2021-03-29T00:00:00Z,"Georgia’s new voting law “makes it a JAIL-TIME CRIME to drop off grandma’s absentee ballot in a dropbox.”
truefalse",False,https://www.politifact.com/factchecks/2021/mar/30/facebook-posts/georgia-voting-law-does-not-make-it-crime-drop-gra/,PolitiFact,,,election-ballots
435,2021-08-12T00:00:00Z,“A Milwaukee election employee even acknowledged dropping off just the margin of ballots needed for a Biden win at 3 a.m.”,Pants on Fire,https://www.politifact.com/factchecks/2021/aug/23/donald-trump/no-milwaukee-election-official-didnt-admit-deliver/,PolitiFact,,,election-ballots
436,2021-04-25T00:00:00Z,"""There were in fact watermarks on the ballots in Arizona.""",False,https://www.factcheck.org/2021/05/myth-of-ballot-watermarks-flushed-out-again/,FactCheck.org,,,election-ballots
